GUBERNATURA
01/06/2021 18:52 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,0,0,0,0,0,0,0,0,0,,0,

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040026C0100,'040026C010005,'04,CAMPECHE,'007,007. TENABO,'0026,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,,,,
'040027B0100,'040027B010005,'04,CAMPECHE,'007,007. TENABO,'0027,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,
'040027C0100,'040027C010005,'04,CAMPECHE,'007,007. TENABO,'0027,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,,
'040028B0100,'040028B010005,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0028,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,586,,,,,,,,,,,
'040029B0100,'040029B010005,'04,CAMPECHE,'007,007. TENABO,'0029,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,
'040029C0100,'040029C010005,'04,CAMPECHE,'007,007. TENABO,'0029,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,424,,,,,,,,,,,
'040030B0100,'040030B010005,'04,CAMPECHE,'007,007. TENABO,'0030,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,
'040030C0100,'040030C010005,'04,CAMPECHE,'007,007. TENABO,'0030,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,,,,,
'040031B0100,'040031B010005,'04,CAMPECHE,'007,007. TENABO,'0031,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,,,,,
'040032B0100,'040032B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0032,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,
'040032C0100,'040032C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0032,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,
'040033B0100,'040033B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0033,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,
'040033C0100,'040033C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0033,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,
'040034B0100,'040034B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0034,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,
'040034C0100,'040034C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0034,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,
'040035B0100,'040035B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0035,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,
'040035C0100,'040035C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0035,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,
'040036B0100,'040036B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0036,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,596,,,,,,,,,,,
'040036C0100,'040036C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0036,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,596,,,,,,,,,,,
'040037B0100,'040037B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0037,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,
'040037C0100,'040037C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0037,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,
'040038B0100,'040038B010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0038,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,749,,,,,,,,,,,
'040039B0100,'040039B010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,707,,,,,,,,,,,
'040039C0100,'040039C010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,706,,,,,,,,,,,
'040039C0200,'040039C020005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,706,,,,,,,,,,,
'040040B0100,'040040B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0040,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,749,,,,,,,,,,,
'040041B0100,'040041B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0041,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,
'040041C0100,'040041C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0041,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,,,
'040042B0100,'040042B010005,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0042,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,
'040042C0100,'040042C010005,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0042,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,,
